Designator,Mid X,Mid Y,Rotation,Layer
C1,92.4375,-155.7,180.0,top
C2,85.5375,-155.7,180.0,top
C3,74.4,-115.7625,90.0,top
C4,78.6375,-155.7,180.0,top
CONN01X06,85.65,-151.9,180.0,top
D2,80.6,-115.6,270.0,top
DATA_IN1,67.8,-119.65,90.0,top
DATA_OUT1,114.8,-119.75,90.0,top
ESP32-C3,105.15,-137.985,270.0,top
Q1,88.75,-114.9,270.0,top
Q2,96.75,-114.9,270.0,top
Q3,104.75,-114.9,270.0,top
Q4,92.75,-114.9,270.0,top
Q5,100.75,-114.9,270.0,top
Q6,108.75,-114.9,270.0,top
R1,74.4,-122.65,90.0,top
R10,96.55,-122.6,270.0,top
R11,106.0,-122.65,90.0,top
R12,109.2,-122.65,270.0,top
R13,87.15,-143.4,180.0,top
R14,87.15,-140.2,180.0,top
R15,87.15,-136.89,180.0,top
R16,77.4,-115.85,270.0,top
R17,87.25,-146.4,180.0,top
R18,87.35,-133.6,180.0,top
R19,87.25,-130.2,180.0,top
R2,77.4,-122.55,270.0,top
R3,87.2,-122.65,90.0,top
R4,90.4,-122.65,270.0,top
R5,99.6,-122.65,90.0,top
R6,102.8,-122.65,270.0,top
R7,80.6,-122.65,90.0,top
R8,84.0,-122.65,270.0,top
R9,93.4,-122.65,90.0,top
SW2,103.2,-153.0,0.0,top
VP_IN1,70.0,-141.9,90.0,top
VP_IN2,78.5,-105.8,0.0,top
VP_IN3,91.05,-105.8,0.0,top
VP_IN4,103.7,-105.8,0.0,top
