Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16, C4, C6",1206,4,100nF,
"C11, C13, C18",CP_Elec_6.3x7.7,3,470uF,
"C17, C2",1206,2,10uF,
C9,CP_Radial_D10.0mm_P5.00mm,1,1000uF,
DATA_IN1,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,I2C,
ESP32-C3,MODULE_ESP32-C3_SUPERMINI,1,ESP32-C3_SUPERMINI_SMD,
J2,JST_XA_B03B-XASK-1-A_1x03_P2.50mm_Vertical,1,Servo 2,
J3,JST_XA_B03B-XASK-1-A_1x03_P2.50mm_Vertical,1,Servo 3,
J5,JST_XA_B02B-XASK-1-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Socket,
LIPO_CHARGER1,MOD_LiPo_USB-C_5V2A_AR3462_25x20mm,1,~,
R17,1206,1,10k,
"R18, R19",1206,2,4.7k,
"R2, R5",1206,2,100,
"SW1, SW2",SW_RS-032G05A3-SMRT,2,SW_Push,
