Designator,Mid X,Mid Y,Rotation,Layer
C1,175.78,-67.0475,270.0,top
C11,143.8,-72.05,0.0,top
C13,192.0,-72.25,180.0,top
C16,154.3125,-121.4,0.0,top
C17,154.4125,-116.9,0.0,top
C18,152.85,-110.95,180.0,top
C2,179.0,-67.0225,270.0,top
C4,191.9375,-89.45,0.0,top
C6,143.8375,-89.2,180.0,top
C9,191.4,-57.832323,270.0,top
DATA_IN1,167.9,-74.8,0.0,top
ESP32-C3,168.0,-118.7,180.0,top
J2,191.225,-81.5125,270.0,top
J3,144.525,-82.5875,90.0,top
J5,167.4325,-68.145,0.0,top
LIPO_CHARGER1,167.96,-137.3,0.0,bottom
R17,143.95,-65.0,0.0,top
R18,168.35,-89.35,180.0,top
R19,168.35,-86.3,180.0,top
R2,153.35,-84.4,180.0,top
R5,182.65,-84.35,0.0,top
SW1,183.0,-111.0,90.0,top
SW2,143.9,-56.95,90.0,top
